%time,field.data
1732437687748469770,0
1732437687748469770,0
1732437687758751029,0
1732437687758751029,0
1732437687768908015,0
1732437687768908015,0
1732437687779426452,0
1732437687779426452,0
1732437687790087463,0
1732437687790087463,0
1732437687800499009,0
1732437687800499009,0
1732437687810581844,0
1732437687810581844,0
1732437687820832550,0
1732437687820832550,0
1732437687830939489,0
1732437687830939489,0
1732437687841194303,0
1732437687841194303,0
1732437687851609086,0
1732437687851609086,0
1732437687862105860,0
1732437687862105860,0
1732437687872365764,0
1732437687872365764,0
1732437687882822764,0
1732437687882822764,0
1732437687893282260,0
1732437687893282260,0
1732437687903496288,0
1732437687903496288,0
1732437687913954401,0
1732437687913954401,0
1732437687924179301,0
1732437687924179301,0
1732437687934618899,0
1732437687934618899,0
1732437687944917855,0
1732437687944917855,0
1732437687955219085,0
1732437687955219085,0
1732437687965788221,0
1732437687965788221,0
1732437687976559931,0
1732437687976559931,0
1732437687986785391,0
1732437687986785391,0
1732437687997591181,0
1732437687997591181,0
1732437688007655981,0
1732437688007655981,0
1732437688017995894,0
1732437688017995894,0
1732437688028209040,0
1732437688028209040,0
1732437688038379719,0
1732437688038379719,0
1732437688048924804,0
1732437688048924804,0
1732437688059138742,0
1732437688059138742,0
1732437688069715856,0
1732437688069715856,0
1732437688079914782,0
1732437688079914782,0
1732437688090074052,0
1732437688090074052,0
1732437688100474558,0
1732437688100474558,0
1732437688110673625,0
1732437688110673625,0
1732437688121186123,0
1732437688121186123,0
1732437688131575274,0
1732437688131575274,0
1732437688142153884,0
1732437688142153884,0
1732437688152682317,0
1732437688152682317,0
1732437688163877582,0
1732437688163877582,0
1732437688174484201,0
1732437688174484201,0
1732437688185092503,0
1732437688185092503,0
1732437688195717687,0
1732437688195717687,0
1732437688206202109,0
1732437688206202109,0
1732437688216451684,0
1732437688216451684,0
1732437688226863871,0
1732437688226863871,0
1732437688237185530,0
1732437688237185530,0
1732437688248195991,0
1732437688248195991,0
1732437688258505687,0
1732437688258505687,0
1732437688268625030,0
1732437688268625030,0
1732437688278826906,0
1732437688278826906,0
1732437688288984790,0
1732437688288984790,0
1732437688299222632,0
1732437688299222632,0
1732437688310176248,0
1732437688310176248,0
1732437688320377282,0
1732437688320377282,0
1732437688330972991,0
1732437688330972991,0
1732437688341197258,0
1732437688341197258,0
1732437688351628511,0
1732437688351628511,0
1732437688362109746,0
1732437688362109746,0
1732437688372590036,0
1732437688372590036,0
1732437688383555106,0
1732437688383555106,0
1732437688393894137,0
1732437688393894137,0
1732437688404082359,0
1732437688404082359,0
1732437688414465512,0
1732437688414465512,0
1732437688425151167,0
1732437688425151167,0
1732437688435368252,0
1732437688435368252,0
1732437688445689911,0
1732437688445689911,0
1732437688456104472,0
1732437688456104472,0
1732437688466133286,0
1732437688466133286,0
1732437688476421402,0
1732437688476421402,0
1732437688486467298,0
1732437688486467298,0
1732437688496589707,0
1732437688496589707,0
1732437688507099997,0
1732437688507099997,0
1732437688517345293,0
1732437688517345293,0
1732437688527637046,0
1732437688527637046,0
1732437688538001975,0
1732437688538001975,0
1732437688548368217,0
1732437688548368217,0
1732437688558666492,0
1732437688558666492,0
1732437688569029789,0
1732437688569029789,0
1732437688579296636,0
1732437688579296636,0
1732437688589654462,0
1732437688589654462,0
1732437688600177677,0
1732437688600177677,0
1732437688610610229,0
1732437688610610229,0
1732437688621055330,0
1732437688621055330,0
1732437688631410868,0
1732437688631410868,0
1732437688641593848,0
1732437688641593848,0
1732437688651962548,0
1732437688651962548,0
1732437688662462860,0
1732437688662462860,0
1732437688672816599,0
1732437688672816599,0
1732437688682959755,0
1732437688682959755,0
1732437688693567287,0
1732437688693567287,0
1732437688704046748,0
1732437688704046748,0
1732437688714503467,0
1732437688714503467,0
1732437688725650543,0
1732437688725650543,0
1732437688735946805,0
1732437688735946805,0
1732437688746615058,0
1732437688746615058,0
1732437688757439513,0
1732437688757439513,0
1732437688767577540,0
1732437688767577540,0
1732437688777807048,0
1732437688777807048,0
1732437688788037758,0
1732437688788037758,0
1732437688798513584,0
1732437688798513584,0
1732437688808795989,0
1732437688808795989,0
1732437688819271153,0
1732437688819271153,0
1732437688829713767,0
1732437688829713767,0
1732437688840283805,0
1732437688840283805,0
1732437688850460247,0
1732437688850460247,0
1732437688860643338,0
1732437688860643338,0
1732437688870900698,0
1732437688870900698,0
1732437688881316341,0
1732437688881316341,0
1732437688891609172,0
1732437688891609172,0
1732437688902006916,0
1732437688902006916,0
