%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1732437677046987800,0,1732437677046987800,map,-0.003554259026068248,0.001318788579557294,0.0,0.0,0.0,-0.002222924021326492,0.9999975293013456
1732437677058488100,1,1732437677058488100,map,-0.003554259026068248,0.001318788579557294,0.0,0.0,0.0,-0.002222924021326492,0.9999975293013456
1732437677068754100,2,1732437677068754100,map,-0.003554259026068248,0.001318788579557294,0.0,0.0,0.0,-0.002222924021326492,0.9999975293013456
1732437677079064100,3,1732437677079064100,map,-0.003554259026068248,0.001318788579557294,0.0,0.0,0.0,-0.002222924021326492,0.9999975293013456
1732437677089470900,4,1732437677089470900,map,-0.003554259026068248,0.001318788579557294,0.0,0.0,0.0,-0.002222924021326492,0.9999975293013456
1732437677100007000,5,1732437677100007000,map,-0.003554259026068248,0.001318788579557294,0.0,0.0,0.0,-0.002222924021326492,0.9999975293013456
1732437677110968900,6,1732437677110968900,map,-0.003554259026068248,0.001318788579557294,0.0,0.0,0.0,-0.002222924021326492,0.9999975293013456
1732437677121175000,7,1732437677121175000,map,-0.003554259026068248,0.001318788579557294,0.0,0.0,0.0,-0.002222924021326492,0.9999975293013456
1732437677132435900,8,1732437677132435900,map,-0.003554259026068248,0.001318788579557294,0.0,0.0,0.0,-0.002222924021326492,0.9999975293013456
1732437677143065500,9,1732437677143065500,map,-0.003554259026068248,0.001318788579557294,0.0,0.0,0.0,-0.002222924021326492,0.9999975293013456
1732437677153518300,10,1732437677153518300,map,-0.009665211088857385,0.0005656638972644585,0.0,0.0,0.0,-0.00394178599473069,0.9999922311314082
1732437677163773700,11,1732437677163773700,map,-0.009665211088857385,0.0005656638972644585,0.0,0.0,0.0,-0.00394178599473069,0.9999922311314082
1732437677175050200,12,1732437677175050200,map,-0.009665211088857385,0.0005656638972644585,0.0,0.0,0.0,-0.00394178599473069,0.9999922311314082
1732437677185656200,13,1732437677185656200,map,-0.009665211088857385,0.0005656638972644585,0.0,0.0,0.0,-0.00394178599473069,0.9999922311314082
1732437677195794000,14,1732437677195794000,map,-0.009665211088857385,0.0005656638972644585,0.0,0.0,0.0,-0.00394178599473069,0.9999922311314082
1732437677206200700,15,1732437677206200700,map,-0.009665211088857385,0.0005656638972644585,0.0,0.0,0.0,-0.00394178599473069,0.9999922311314082
1732437677216835600,16,1732437677216835600,map,-0.009665211088857385,0.0005656638972644585,0.0,0.0,0.0,-0.00394178599473069,0.9999922311314082
1732437677227202500,17,1732437677227202500,map,-0.009665211088857385,0.0005656638972644585,0.0,0.0,0.0,-0.00394178599473069,0.9999922311314082
1732437677237382200,18,1732437677237382200,map,-0.009665211088857385,0.0005656638972644585,0.0,0.0,0.0,-0.00394178599473069,0.9999922311314082
1732437677247634900,19,1732437677247634900,map,-0.014667331483333816,0.0020428772116492144,0.0,0.0,0.0,-0.0033420446288980454,0.9999944153532552
1732437677257757000,20,1732437677257757000,map,-0.014667331483333816,0.0020428772116492144,0.0,0.0,0.0,-0.0033420446288980454,0.9999944153532552
1732437677268400000,21,1732437677268400000,map,-0.014667331483333816,0.0020428772116492144,0.0,0.0,0.0,-0.0033420446288980454,0.9999944153532552
1732437677278661300,22,1732437677278661300,map,-0.014667331483333816,0.0020428772116492144,0.0,0.0,0.0,-0.0033420446288980454,0.9999944153532552
1732437677288812100,23,1732437677288812100,map,-0.014667331483333816,0.0020428772116492144,0.0,0.0,0.0,-0.0033420446288980454,0.9999944153532552
1732437677300292500,24,1732437677300292500,map,-0.014667331483333816,0.0020428772116492144,0.0,0.0,0.0,-0.0033420446288980454,0.9999944153532552
1732437677310904200,25,1732437677310904200,map,-0.014667331483333816,0.0020428772116492144,0.0,0.0,0.0,-0.0033420446288980454,0.9999944153532552
1732437677321550400,26,1732437677321550400,map,-0.014667331483333816,0.0020428772116492144,0.0,0.0,0.0,-0.0033420446288980454,0.9999944153532552
1732437677331918900,27,1732437677331918900,map,-0.014667331483333816,0.0020428772116492144,0.0,0.0,0.0,-0.0033420446288980454,0.9999944153532552
1732437677342251000,28,1732437677342251000,map,-0.014667331483333816,0.0020428772116492144,0.0,0.0,0.0,-0.0033420446288980454,0.9999944153532552
1732437677352615600,29,1732437677352615600,map,-0.014072983107050492,0.0021841155829292087,0.0,0.0,0.0,-0.0008262029091497457,0.9999996586943183
1732437677362708900,30,1732437677362708900,map,-0.014072983107050492,0.0021841155829292087,0.0,0.0,0.0,-0.0008262029091497457,0.9999996586943183
1732437677372972600,31,1732437677372972600,map,-0.014072983107050492,0.0021841155829292087,0.0,0.0,0.0,-0.0008262029091497457,0.9999996586943183
1732437677383314800,32,1732437677383314800,map,-0.014072983107050492,0.0021841155829292087,0.0,0.0,0.0,-0.0008262029091497457,0.9999996586943183
1732437677393975600,33,1732437677393975600,map,-0.014072983107050492,0.0021841155829292087,0.0,0.0,0.0,-0.0008262029091497457,0.9999996586943183
1732437677404448100,34,1732437677404448100,map,-0.014072983107050492,0.0021841155829292087,0.0,0.0,0.0,-0.0008262029091497457,0.9999996586943183
1732437677414669100,35,1732437677414669100,map,-0.014072983107050492,0.0021841155829292087,0.0,0.0,0.0,-0.0008262029091497457,0.9999996586943183
1732437677424847000,36,1732437677424847000,map,-0.014072983107050492,0.0021841155829292087,0.0,0.0,0.0,-0.0008262029091497457,0.9999996586943183
1732437677435120000,37,1732437677435120000,map,-0.014072983107050492,0.0021841155829292087,0.0,0.0,0.0,-0.0008262029091497457,0.9999996586943183
1732437677449239200,38,1732437677449239200,map,-0.014897521282547822,0.0028149069579949926,0.0,0.0,0.0,-0.003513115615717857,0.9999938289902947
1732437677459687800,39,1732437677459687800,map,-0.014897521282547822,0.0028149069579949926,0.0,0.0,0.0,-0.003513115615717857,0.9999938289902947
1732437677470517700,40,1732437677470517700,map,-0.014897521282547822,0.0028149069579949926,0.0,0.0,0.0,-0.003513115615717857,0.9999938289902947
1732437677481128200,41,1732437677481128200,map,-0.014897521282547822,0.0028149069579949926,0.0,0.0,0.0,-0.003513115615717857,0.9999938289902947
1732437677491663900,42,1732437677491663900,map,-0.014897521282547822,0.0028149069579949926,0.0,0.0,0.0,-0.003513115615717857,0.9999938289902947
1732437677502294900,43,1732437677502294900,map,-0.014897521282547822,0.0028149069579949926,0.0,0.0,0.0,-0.003513115615717857,0.9999938289902947
1732437677512597800,44,1732437677512597800,map,-0.014897521282547822,0.0028149069579949926,0.0,0.0,0.0,-0.003513115615717857,0.9999938289902947
1732437677522785600,45,1732437677522785600,map,-0.014897521282547822,0.0028149069579949926,0.0,0.0,0.0,-0.003513115615717857,0.9999938289902947
1732437677533328600,46,1732437677533328600,map,-0.014897521282547822,0.0028149069579949926,0.0,0.0,0.0,-0.003513115615717857,0.9999938289902947
1732437677543998900,47,1732437677543998900,map,-0.013670141898934968,0.0013359960351205305,0.0,0.0,0.0,-0.003643216822289478,0.999993363463571
